קופה,תקופה,קוד,נכס,כמות
101,03/1999,85,"אג""ח מיועדות %5",440888.0
101,03/1999,86,"אג""ח סחירות ממשלתיות",5057572.0
101,03/1999,88,מניות גמול,3227.0
101,03/1999,304,"מק""מ",58459.0
101,03/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",411378.0
101,03/1999,308,"לפחות AA אג""ח בדירוג",793060.0
101,03/1999,309,"אג""ח קונצרניות סחירות",281376.0
101,03/1999,310,"אג""ח להמרה סחירות",25741.0
101,03/1999,311,אופציה ישראלית,36280.0
101,03/1999,313,Warrants אופציות מסוג,2269.0
101,03/1999,316,מניות סחירות,1558194.0
101,03/1999,93,"מניות נסחרות בחו""ל",15976.0
101,03/1999,95,הלוואות לעמיתים,19372.0
101,03/1999,96,הלוואות אחרות,164887.0
101,03/1999,97,פקדונות צמודים,626127.0
101,03/1999,98,תיקי משכנתאות,8697.0
101,03/1999,103,חייבים שונים נטו,10723.0
101,03/1999,107,"אג""ח קונצרניות לא סחירות",481189.0
101,03/1999,108,מניות לא סחירות,30632.0
101,03/1999,329,נכסים אחרים לא סחירים,899.0
