קופה,תקופה,קוד,נכס,כמות
101,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",245608.97
101,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",75349.4
101,01/2022,105,"פח""ק/פר""י",192040.52
101,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",490459.29
101,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",1833422.93
101,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",356279.2
101,01/2022,304,"מק""מ",276033.89
101,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,670364.26
101,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,204827.47
101,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",11686.48
101,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,146152.06
101,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,195636.23
101,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",21271.04
101,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,13973.84
101,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,10333.1
101,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,117873.9
101,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,3030.71
101,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",4735.5
101,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",9461.72
101,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",311.72
101,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,1564.87
101,01/2022,7141,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",10774.87
101,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",12624.88
101,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",12927.07
101,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",178040.53
101,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",33245.36
101,01/2022,7174,"או לא מדורגות -BBB - אגרות חוב לא סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",13064.6
101,01/2022,6221,"מניות השייכות למדד ת""א 25/35",137398.41
101,01/2022,6231,"מניות השייכות למדד ת""א 75/90",61360.18
101,01/2022,6241,מניות היתר,15585.8
101,01/2022,6251,מניות זרות הנסחרות בארץ,7640.47
101,01/2022,108,מניות לא סחירות,63377.28
101,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",25664.18
101,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",156928.15
101,01/2022,123,מניות לא סחירות בתאגיד חוץ,401711.98
101,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,10732.9
101,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",20694.29
101,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",135998.93
101,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,318230.37
101,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",673.08
101,01/2022,94,תעודת השתתפות בקרן נאמנות,348.69
101,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",87594.74
101,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,107680.77
101,01/2022,9211,תעודת השתתפות בקרנות נאמנות - אחר,57485.4
101,01/2022,553,קרנות הון סיכון,24478.07
101,01/2022,7191,קרנות גידור,54718.98
101,01/2022,5302,"קרנות נדל""ן",4230.07
101,01/2022,552,קרנות השקעה אחרות,124693.34
101,01/2022,5005,"קרנות הון סיכון בחו""ל",34570.54
101,01/2022,7201,"קרנות גידור בחו""ל",100263.76
101,01/2022,5305,"קרנות נדל""ן בחו""ל",105331.03
101,01/2022,5004,"קרנות השקעה אחרות בחו""ל",545414.82
101,01/2022,313,Warrants אופציות מסוג,111.17
101,01/2022,5279,אופציה מסוג Warrant,1.64
101,01/2022,7221,"בחו""ל Warrants כתבי אופציה לא סחירים מסוג",42.74
101,01/2022,7231,"לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",693.82
101,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",7796.09
101,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",-317.71
