קופה,תקופה,קוד,נכס,כמות
233,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",54440.3
233,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",15371.58
233,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",43415.74
233,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",153712.05
233,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",19246.91
233,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,115353.52
233,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,20327.79
233,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,33132.41
233,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,56512.67
233,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,19900.96
233,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,446.76
233,01/2022,6221,"מניות השייכות למדד ת""א 25/35",81246.42
233,01/2022,6231,"מניות השייכות למדד ת""א 75/90",32389.76
233,01/2022,6241,מניות היתר,1062.33
233,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",20464.87
233,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",75333.77
233,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,1933.41
233,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",11936.36
233,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,160478.65
233,01/2022,553,קרנות הון סיכון,8154.38
233,01/2022,7191,קרנות גידור,20000.0
233,01/2022,552,קרנות השקעה אחרות,13614.07
233,01/2022,5005,"קרנות הון סיכון בחו""ל",9287.79
233,01/2022,5004,"קרנות השקעה אחרות בחו""ל",21128.33
233,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-1387.2
233,01/2022,7243,"לא סחירים FORWARD, SWAP חוזים עתידיים אחרים",13.11
233,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,2924.85
233,01/2022,8774,ומעלה בישראל -AA בדירוג (Tranch) שכבת חוב,558.13
233,01/2022,554,חייבים שונים,244.33
233,01/2022,555,זכאים (ירשם במינוס,-417.58
