קופה,תקופה,קוד,נכס,כמות
101,03/2000,85,"אג""ח מיועדות %5",213446.0
101,03/2000,86,"אג""ח סחירות ממשלתיות",5784298.0
101,03/2000,88,מניות גמול,2341.0
101,03/2000,102,"פק""מ וקצר מועד אחר",280000.0
101,03/2000,106,"יתרות מזומנים ועו""ש בשקלים חדשים",105115.0
101,03/2000,308,"לפחות AA אג""ח בדירוג",903902.0
101,03/2000,309,"אג""ח קונצרניות סחירות",139036.0
101,03/2000,310,"אג""ח להמרה סחירות",15878.0
101,03/2000,311,אופציה ישראלית,14983.0
101,03/2000,312,יצירת אופציה,-38.0
101,03/2000,313,Warrants אופציות מסוג,2078.0
101,03/2000,316,מניות סחירות,1719148.0
101,03/2000,93,"מניות נסחרות בחו""ל",47586.0
101,03/2000,95,הלוואות לעמיתים,26561.0
101,03/2000,96,הלוואות אחרות,139708.0
101,03/2000,97,פקדונות צמודים,558840.0
101,03/2000,98,תיקי משכנתאות,8000.0
101,03/2000,103,חייבים שונים נטו,13111.0
101,03/2000,107,"אג""ח קונצרניות לא סחירות",509958.0
101,03/2000,108,מניות לא סחירות,48966.0
101,03/2000,329,נכסים אחרים לא סחירים,7511.0
