קופה,תקופה,קוד,נכס,כמות
101,12/1999,85,"אג""ח מיועדות %5",301649.0
101,12/1999,86,"אג""ח סחירות ממשלתיות",5504488.0
101,12/1999,88,מניות גמול,2276.0
101,12/1999,102,"פק""מ וקצר מועד אחר",35000.0
101,12/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",450508.0
101,12/1999,308,"לפחות AA אג""ח בדירוג",800300.0
101,12/1999,309,"אג""ח קונצרניות סחירות",273431.0
101,12/1999,310,"אג""ח להמרה סחירות",23716.0
101,12/1999,311,אופציה ישראלית,5051.0
101,12/1999,313,Warrants אופציות מסוג,3988.0
101,12/1999,316,מניות סחירות,1664049.0
101,12/1999,93,"מניות נסחרות בחו""ל",33900.0
101,12/1999,95,הלוואות לעמיתים,21846.0
101,12/1999,96,הלוואות אחרות,144732.0
101,12/1999,97,פקדונות צמודים,577670.0
101,12/1999,98,תיקי משכנתאות,8345.0
101,12/1999,103,חייבים שונים נטו,8751.0
101,12/1999,107,"אג""ח קונצרניות לא סחירות",514738.0
101,12/1999,108,מניות לא סחירות,29298.0
101,12/1999,329,נכסים אחרים לא סחירים,4084.0
