קופה,תקופה,קוד,נכס,כמות
223,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",-525.64
223,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",21279.87
223,01/2022,105,"פח""ק/פר""י",20692.19
223,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",596.12
223,01/2022,7013,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",4061.08
223,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",90676.59
223,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",57567.14
223,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",128205.14
223,01/2022,304,"מק""מ",127.88
223,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",214.28
223,01/2022,7084,"או לא מדורגות -BBB - תעודות חוב מסחריות לא סחירות צמודות מט""ח שעומדות כנגדן בטוחה מספקת בדירוג הנמוך מ",0.0
223,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,143762.4
223,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,19377.24
223,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",4102.46
223,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,11192.28
223,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,24951.9
223,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",4012.64
223,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,3388.33
223,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,5586.36
223,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",2060.38
223,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,10214.46
223,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,3672.96
223,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",1577.84
223,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",2700.82
223,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",4937.73
223,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,577.42
223,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",1785.38
223,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",1727.77
223,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",4956.54
223,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",19742.88
223,01/2022,108,מניות לא סחירות,721.36
223,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",210.18
223,01/2022,8674,"מניות לא סחירות של חברות ישראליות שנסחרות בחו""ל",0.12
223,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",22887.17
223,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",853.34
223,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",14562.05
223,01/2022,9204,"תעודת השתתפות בקרנות נאמנות - אג""ח ממשלתי",3344.14
223,01/2022,553,קרנות הון סיכון,3614.53
223,01/2022,552,קרנות השקעה אחרות,33437.9
223,01/2022,7201,"קרנות גידור בחו""ל",2620.87
223,01/2022,5305,"קרנות נדל""ן בחו""ל",14445.7
223,01/2022,5004,"קרנות השקעה אחרות בחו""ל",54726.63
223,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-1148.63
223,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",591.71
223,01/2022,7243,"לא סחירים FORWARD, SWAP חוזים עתידיים אחרים",201.48
223,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",321.33
223,01/2022,7251,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",709.49
223,01/2022,5565,"שקל/מט""ח (short) בחסר OTC אופציות",-5.65
223,01/2022,8687,"לא סחירות (short) אופציות מט""ח/מט""ח",-0.05
223,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,41550.53
223,01/2022,8831,"מוצרים מובנים בחו""ל עם קרן לא מובטחת ונכס בסיס אחר",266.1
223,01/2022,95,הלוואות לעמיתים,78.73
223,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,20994.21
223,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,25956.73
223,01/2022,8881,או לא מדורגות שעומדות כנגדן בטוחה מספקת (-BBB) -הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,3873.54
223,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,2384.39
223,01/2022,7491,הלוואות לא מובטחות,6834.73
223,01/2022,554,חייבים שונים,2725.17
223,01/2022,555,זכאים (ירשם במינוס,-996.58
223,01/2022,5050,זכאים מס הכנסה,-254.97
