קופה,תקופה,קוד,נכס,כמות
101,02/1999,85,"אג""ח מיועדות %5",489376.0
101,02/1999,86,"אג""ח סחירות ממשלתיות",5087878.0
101,02/1999,88,מניות גמול,3190.0
101,02/1999,304,"מק""מ",64992.0
101,02/1999,102,"פק""מ וקצר מועד אחר",100000.0
101,02/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",197298.0
101,02/1999,308,"לפחות AA אג""ח בדירוג",805295.0
101,02/1999,309,"אג""ח קונצרניות סחירות",287286.0
101,02/1999,310,"אג""ח להמרה סחירות",25668.0
101,02/1999,311,אופציה ישראלית,21997.0
101,02/1999,313,Warrants אופציות מסוג,864.0
101,02/1999,316,מניות סחירות,1522059.0
101,02/1999,93,"מניות נסחרות בחו""ל",16142.0
101,02/1999,95,הלוואות לעמיתים,20116.0
101,02/1999,96,הלוואות אחרות,166725.0
101,02/1999,97,פקדונות צמודים,634253.0
101,02/1999,98,תיקי משכנתאות,8807.0
101,02/1999,103,חייבים שונים נטו,9551.0
101,02/1999,107,"אג""ח קונצרניות לא סחירות",479755.0
101,02/1999,108,מניות לא סחירות,30704.0
101,02/1999,329,נכסים אחרים לא סחירים,904.0
