קופה,תקופה,קוד,נכס,כמות
101,07/1999,85,"אג""ח מיועדות %5",380363.0
101,07/1999,86,"אג""ח סחירות ממשלתיות",4898883.0
101,07/1999,88,מניות גמול,2238.0
101,07/1999,304,"מק""מ",48190.0
101,07/1999,102,"פק""מ וקצר מועד אחר",450000.0
101,07/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",252646.0
101,07/1999,308,"לפחות AA אג""ח בדירוג",778599.0
101,07/1999,309,"אג""ח קונצרניות סחירות",275284.0
101,07/1999,310,"אג""ח להמרה סחירות",25521.0
101,07/1999,313,Warrants אופציות מסוג,4137.0
101,07/1999,316,מניות סחירות,1562028.0
101,07/1999,93,"מניות נסחרות בחו""ל",26089.0
101,07/1999,95,הלוואות לעמיתים,20150.0
101,07/1999,96,הלוואות אחרות,148148.0
101,07/1999,97,פקדונות צמודים,590269.0
101,07/1999,98,תיקי משכנתאות,8549.0
101,07/1999,103,חייבים שונים נטו,9251.0
101,07/1999,107,"אג""ח קונצרניות לא סחירות",490752.0
101,07/1999,108,מניות לא סחירות,31368.0
101,07/1999,329,נכסים אחרים לא סחירים,4101.0
