קופה,תקופה,קוד,נכס,כמות
152,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",19576.53
152,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",1743.99
152,01/2022,105,"פח""ק/פר""י",4715.97
152,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",466.81
152,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",294.13
152,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",41784.41
152,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",28056.2
152,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",14640.28
152,01/2022,304,"מק""מ",100.38
152,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",38.3
152,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",1444.92
152,01/2022,7067,ומעלה AA- תעודות חוב מסחריות לא סחירות לא צמודות בדירוג,0.01
152,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,52902.25
152,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,14211.44
152,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",573.34
152,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,9770.34
152,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,8571.45
152,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",78.67
152,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,2209.91
152,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,637.45
152,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",245.01
152,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,16156.55
152,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,667.48
152,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",861.51
152,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",2261.29
152,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",570.99
152,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,12.14
152,01/2022,5551,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג הנמוך מ,0.82
152,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",1064.73
152,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",1584.93
152,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",2728.25
152,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",10261.64
152,01/2022,6241,מניות היתר,352.06
152,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",5797.19
152,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",529.92
152,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",8241.78
152,01/2022,9211,תעודת השתתפות בקרנות נאמנות - אחר,3026.65
152,01/2022,7191,קרנות גידור,404.7
152,01/2022,5004,"קרנות השקעה אחרות בחו""ל",1276.34
152,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",238.5
152,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",-16.31
152,01/2022,7240,"לא סחירים FORWARD, SWAP חוזים עתידיים על ריבית",-27.34
152,01/2022,7254,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח",43.44
152,01/2022,5563,"שקל/מט""ח לא סחירות (long) OTC אופציות",17.95
152,01/2022,5565,"שקל/מט""ח (short) בחסר OTC אופציות",-7.13
152,01/2022,7304,"בחו""ל לא סחירות long אופציות על שקל/מט""ח",45.99
152,01/2022,7321,"בחו""ל לא סחירות short אופציות על שקל/מט""ח",-13.66
152,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,657.59
152,01/2022,9247,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס ריבית,136.27
152,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,11602.69
152,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,1056.84
152,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,3794.32
152,01/2022,7397,"ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות נקובים במט""ח בדירוג",-127.8
152,01/2022,554,חייבים שונים,277.81
152,01/2022,555,זכאים (ירשם במינוס,-163.39
152,01/2022,5050,זכאים מס הכנסה,-487.23
