קופה,תקופה,קוד,נכס,כמות
107,01/2020,106,"יתרות מזומנים ועו""ש בשקלים חדשים",5945.87
107,01/2020,511,"יתרת מזומנים ועו""ש במטבע חוץ",7291.83
107,01/2020,5427,"יתרות מזומנים ועו""ש במטבע חוץ בחו""ל",6.51
107,01/2020,513,"אג""ח ממשלתיות סחירות צמודות מדד",200832.49
107,01/2020,515,"אג""ח סחירות ממשלתיות לא צמודות",248235.25
107,01/2020,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",8085.86
107,01/2020,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,73043.62
107,01/2020,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,42715.53
107,01/2020,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",1695.87
107,01/2020,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,21738.51
107,01/2020,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,20283.73
107,01/2020,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",11617.38
107,01/2020,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,553.4
107,01/2020,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,5368.39
107,01/2020,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",4461.28
107,01/2020,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,1059.1
107,01/2020,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,9823.17
107,01/2020,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",291.33
107,01/2020,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",586.41
107,01/2020,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",2027.45
107,01/2020,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,1.62
107,01/2020,5550,"או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג הנמוך מ",19.54
107,01/2020,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",979.46
107,01/2020,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",325.8
107,01/2020,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",2307.87
107,01/2020,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",366.42
107,01/2020,6221,"מניות השייכות למדד ת""א 25/35",14032.79
107,01/2020,6231,"מניות השייכות למדד ת""א 75/90",16689.46
107,01/2020,6241,מניות היתר,9138.44
107,01/2020,108,מניות לא סחירות,1596.75
107,01/2020,528,"מניות של חברות ישראליות שנסחרות בחו""ל",356.67
107,01/2020,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",3113.54
107,01/2020,123,מניות לא סחירות בתאגיד חוץ,25969.8
107,01/2020,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,16428.31
107,01/2020,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",43547.51
107,01/2020,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",24679.52
107,01/2020,5921,השקעה בתעודות סל שמחקות מדדי מניות,34087.1
107,01/2020,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",4824.99
107,01/2020,9204,"תעודת השתתפות בקרנות נאמנות - אג""ח ממשלתי",964.17
107,01/2020,9207,תעודת השתתפות בקרנות נאמנות - מניות,93.42
107,01/2020,553,קרנות הון סיכון,3715.26
107,01/2020,7191,קרנות גידור,1602.78
107,01/2020,5302,"קרנות נדל""ן",2496.92
107,01/2020,552,קרנות השקעה אחרות,9976.53
107,01/2020,7201,"קרנות גידור בחו""ל",2928.02
107,01/2020,5305,"קרנות נדל""ן בחו""ל",294.31
107,01/2020,5004,"קרנות השקעה אחרות בחו""ל",18258.77
107,01/2020,313,Warrants אופציות מסוג,11.85
107,01/2020,7231,"לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",4444.82
107,01/2020,7271,סחירים long אופציות על מדדים כולל מניות,313.06
107,01/2020,5369,אופציות ישראליות על שקל/דולר (long),24.36
107,01/2020,7274,סחירים short אופציות על מדדים כולל מניות,-803.22
107,01/2020,5382,אופציות ישראליות על שקל/דולר בחסר (short),-138.6
107,01/2020,9237,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס אחר,8283.04
107,01/2020,95,הלוואות לעמיתים,46107.02
107,01/2020,7341," מספקת, או משכנתא ראשונה על זכות במקרקעין או התחייבות לרישום משכנתא שנרשם עליה משכון כדין -BBB תיקי משכנתאות בדירוג",1.08
107,01/2020,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,4923.95
107,01/2020,8881,או לא מדורגות שעומדות כנגדן בטוחה מספקת (-BBB) -הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,7304.59
107,01/2020,7491,הלוואות לא מובטחות,0.22
107,01/2020,554,חייבים שונים,1862.94
107,01/2020,555,זכאים (ירשם במינוס,-14.76
107,01/2020,5050,זכאים מס הכנסה,-252.38
