קופה,תקופה,קוד,נכס,כמות
394,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",1389.61
394,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",79.45
394,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",5288.57
394,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",7323.86
394,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,2144.75
394,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,1107.73
394,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,274.29
394,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,989.9
394,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",365.24
394,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,0.02
394,01/2022,6221,"מניות השייכות למדד ת""א 25/35",2350.99
394,01/2022,6231,"מניות השייכות למדד ת""א 75/90",2618.0
394,01/2022,6241,מניות היתר,762.95
394,01/2022,108,מניות לא סחירות,110.84
394,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",769.92
394,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",15173.86
394,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,3737.17
394,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",389.08
394,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",4406.85
394,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,8097.28
394,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,657.52
394,01/2022,7201,"קרנות גידור בחו""ל",3357.38
394,01/2022,313,Warrants אופציות מסוג,38.4
394,01/2022,5279,אופציה מסוג Warrant,157.07
394,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-222.11
394,01/2022,95,הלוואות לעמיתים,720.74
394,01/2022,554,חייבים שונים,41.99
394,01/2022,5050,זכאים מס הכנסה,-0.87
