קופה,תקופה,קוד,נכס,כמות
241,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",19571.93
241,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",12570.34
241,01/2022,105,"פח""ק/פר""י",87314.43
241,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",34447.37
241,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",1082.74
241,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",53332.48
241,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",36814.03
241,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",19210.28
241,01/2022,304,"מק""מ",131.72
241,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",280.64
241,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",2997.75
241,01/2022,7067,ומעלה AA- תעודות חוב מסחריות לא סחירות לא צמודות בדירוג,728.37
241,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,78397.11
241,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,21060.43
241,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",849.65
241,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,14479.0
241,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,12981.11
241,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",116.58
241,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,3274.94
241,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,944.66
241,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",363.08
241,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,8052.82
241,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,1673.49
241,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",1239.11
241,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1593.28
241,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",643.07
241,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,17.99
241,01/2022,5551,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג הנמוך מ,1.22
241,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",1577.86
241,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",2813.13
241,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",5660.28
241,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",21969.98
241,01/2022,6221,"מניות השייכות למדד ת""א 25/35",100972.15
241,01/2022,6231,"מניות השייכות למדד ת""א 75/90",41576.71
241,01/2022,6241,מניות היתר,13070.82
241,01/2022,108,מניות לא סחירות,9013.33
241,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",17349.92
