קופה,תקופה,קוד,נכס,כמות
372,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",0.02
372,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",13010.81
372,01/2022,105,"פח""ק/פר""י",44321.12
372,01/2022,7013,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",1114.44
372,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",216830.08
372,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",155232.65
372,01/2022,304,"מק""מ",21214.6
372,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,100856.23
372,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,84685.19
372,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",885.94
372,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,12974.77
372,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,40937.16
372,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,14980.43
372,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1411.42
372,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",1472.33
372,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",6821.45
372,01/2022,123,מניות לא סחירות בתאגיד חוץ,11355.18
372,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",76834.99
372,01/2022,94,תעודת השתתפות בקרן נאמנות,8852.41
372,01/2022,552,קרנות השקעה אחרות,31322.06
372,01/2022,5305,"קרנות נדל""ן בחו""ל",10545.7
372,01/2022,5004,"קרנות השקעה אחרות בחו""ל",13826.77
372,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",195.81
372,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,10540.0
372,01/2022,95,הלוואות לעמיתים,8700.11
372,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,34282.54
372,01/2022,7491,הלוואות לא מובטחות,-16950.63
372,01/2022,5202,זכויות במקרקעין מניבים,17820.0
372,01/2022,554,חייבים שונים,261.85
372,01/2022,5050,זכאים מס הכנסה,-0.23
