קופה,תקופה,קוד,נכס,כמות
101,02/2000,85,"אג""ח מיועדות %5",242939.0
101,02/2000,86,"אג""ח סחירות ממשלתיות",5669948.0
101,02/2000,88,מניות גמול,2336.0
101,02/2000,102,"פק""מ וקצר מועד אחר",280000.0
101,02/2000,106,"יתרות מזומנים ועו""ש בשקלים חדשים",77875.0
101,02/2000,308,"לפחות AA אג""ח בדירוג",914581.0
101,02/2000,309,"אג""ח קונצרניות סחירות",142858.0
101,02/2000,310,"אג""ח להמרה סחירות",16112.0
101,02/2000,311,אופציה ישראלית,17503.0
101,02/2000,312,יצירת אופציה,-94.0
101,02/2000,313,Warrants אופציות מסוג,2788.0
101,02/2000,316,מניות סחירות,1841695.0
101,02/2000,93,"מניות נסחרות בחו""ל",38138.0
101,02/2000,95,הלוואות לעמיתים,25388.0
101,02/2000,96,הלוואות אחרות,144414.0
101,02/2000,97,פקדונות צמודים,565100.0
101,02/2000,98,תיקי משכנתאות,8210.0
101,02/2000,103,חייבים שונים נטו,10275.0
101,02/2000,107,"אג""ח קונצרניות לא סחירות",510801.0
101,02/2000,108,מניות לא סחירות,55460.0
101,02/2000,329,נכסים אחרים לא סחירים,4097.0
