קופה,תקופה,קוד,נכס,כמות
101,01/1999,85,"אג""ח מיועדות %5",493950.0
101,01/1999,86,"אג""ח סחירות ממשלתיות",5113115.0
101,01/1999,88,מניות גמול,3183.0
101,01/1999,304,"מק""מ",64307.0
101,01/1999,102,"פק""מ וקצר מועד אחר",100000.0
101,01/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",244068.0
101,01/1999,308,"לפחות AA אג""ח בדירוג",813724.0
101,01/1999,309,"אג""ח קונצרניות סחירות",292958.0
101,01/1999,310,"אג""ח להמרה סחירות",25584.0
101,01/1999,311,אופציה ישראלית,20891.0
101,01/1999,313,Warrants אופציות מסוג,926.0
101,01/1999,316,מניות סחירות,1454892.0
101,01/1999,93,"מניות נסחרות בחו""ל",10701.0
101,01/1999,94,תעודת השתתפות בקרן נאמנות,6846.0
101,01/1999,95,הלוואות לעמיתים,20806.0
101,01/1999,96,הלוואות אחרות,167619.0
101,01/1999,97,פקדונות צמודים,642890.0
101,01/1999,98,תיקי משכנתאות,8897.0
101,01/1999,103,חייבים שונים נטו,8604.0
101,01/1999,107,"אג""ח קונצרניות לא סחירות",477262.0
101,01/1999,108,מניות לא סחירות,30701.0
101,01/1999,329,נכסים אחרים לא סחירים,906.0
