קופה,תקופה,קוד,נכס,כמות
154,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",312498.55
154,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",108791.32
154,01/2022,105,"פח""ק/פר""י",115394.18
154,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",1036183.43
154,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",194611.51
154,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",17776.03
154,01/2022,304,"מק""מ",46264.16
154,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,307498.42
154,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,45825.92
154,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",5360.62
154,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,78743.23
154,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,81076.09
154,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",9851.06
154,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,18858.36
154,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,13537.61
154,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,59594.94
154,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,12091.24
154,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",4285.42
154,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",4584.82
154,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",4288.6
154,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,758.28
154,01/2022,7141,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",4942.47
154,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",5791.07
154,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",18582.69
154,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",242693.59
154,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",47205.07
154,01/2022,7174,"או לא מדורגות -BBB - אגרות חוב לא סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",11822.91
154,01/2022,6221,"מניות השייכות למדד ת""א 25/35",813978.28
154,01/2022,6231,"מניות השייכות למדד ת""א 75/90",454614.75
154,01/2022,6241,מניות היתר,151415.81
154,01/2022,6251,מניות זרות הנסחרות בארץ,43595.63
154,01/2022,108,מניות לא סחירות,46338.05
154,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",169916.87
154,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",383221.6
154,01/2022,123,מניות לא סחירות בתאגיד חוץ,209027.41
154,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,61240.67
154,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",37846.58
154,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",63383.09
154,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,805721.21
154,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",967.56
154,01/2022,94,תעודת השתתפות בקרן נאמנות,1989.56
154,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",125917.57
154,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,217493.78
154,01/2022,9211,תעודת השתתפות בקרנות נאמנות - אחר,82635.45
154,01/2022,553,קרנות הון סיכון,17354.46
154,01/2022,7191,קרנות גידור,44960.69
154,01/2022,5302,"קרנות נדל""ן",9429.27
154,01/2022,552,קרנות השקעה אחרות,77742.67
154,01/2022,5005,"קרנות הון סיכון בחו""ל",48579.3
154,01/2022,7201,"קרנות גידור בחו""ל",18048.26
154,01/2022,5305,"קרנות נדל""ן בחו""ל",145255.15
154,01/2022,5004,"קרנות השקעה אחרות בחו""ל",583439.55
154,01/2022,313,Warrants אופציות מסוג,896.7
154,01/2022,5279,אופציה מסוג Warrant,9.38
154,01/2022,7221,"בחו""ל Warrants כתבי אופציה לא סחירים מסוג",2.99
154,01/2022,7231,"לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",1200.29
154,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",4451.42
154,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",-581.05
154,01/2022,7240,"לא סחירים FORWARD, SWAP חוזים עתידיים על ריבית",-905.37
154,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",-34427.72
154,01/2022,7251,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",39.19
154,01/2022,5388,אופציות סחירות על מניות ועל מדד מניות (long),317.71
154,01/2022,5396,אופציות סחירות על מניות ועל מדד מניות בחסר (short),-376.45
154,01/2022,9281,ומעלה בישראל -AA בדירוג (Tranch) שכבת חוב,11132.15
154,01/2022,8731,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס מניות,93.44
154,01/2022,8774,ומעלה בישראל -AA בדירוג (Tranch) שכבת חוב,4698.63
154,01/2022,8817,"מוצרים מובנים בחו""ל עם קרן לא מובטחת ונכס בסיס מניות",708.61
154,01/2022,8867,"ומעלה בחו""ל +BB בדירוג (Tranch) שכבת חוב",0.01
154,01/2022,95,הלוואות לעמיתים,649677.44
154,01/2022,7341," מספקת, או משכנתא ראשונה על זכות במקרקעין או התחייבות לרישום משכנתא שנרשם עליה משכון כדין -BBB תיקי משכנתאות בדירוג",171245.36
154,01/2022,7347,ומעלה -AA הלוואות עם ערבות בנקאית בדירוג,1591.09
154,01/2022,7354,-BBB -  הלוואות עם ערבות בנקאית בדירוג נמוך מ,477.22
154,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,374122.56
154,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,515752.17
154,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,26291.78
154,01/2022,7377,"הלוואות בחו""ל מובטחות בביטחונות אחרים",225299.32
154,01/2022,7381,"הלוואות בחו""ל לא מובטחות",1472.16
154,01/2022,7397,"ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות נקובים במט""ח בדירוג",1963.06
154,01/2022,7404,ומעלה לתקופה של מעל שנה -AA פיקדונות צמודי מדד בדירוג,814.66
154,01/2022,7407,ומעלה לתקופה של מעל שנה -AA פיקדונות לא צמודים בדירוג,13040.58
154,01/2022,5202,זכויות במקרקעין מניבים,35397.56
154,01/2022,5204,"זכויות במקרקעין מניבים בחו""ל",13309.69
154,01/2022,554,חייבים שונים,100722.71
154,01/2022,555,זכאים (ירשם במינוס,-21641.33
154,01/2022,5050,זכאים מס הכנסה,-1031.07
