קופה,תקופה,קוד,נכס,כמות
285,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",-555.58
285,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",4961.89
285,01/2022,105,"פח""ק/פר""י",8984.72
285,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",3003.61
285,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",38587.22
285,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",67885.15
285,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,40015.07
285,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,18596.19
285,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",413.57
285,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,7088.81
285,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,5786.32
285,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",545.96
285,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,514.27
285,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,1493.76
285,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,1421.03
285,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,734.06
285,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1355.96
285,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,136.32
285,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",2549.97
285,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",1658.2
285,01/2022,6221,"מניות השייכות למדד ת""א 25/35",64481.45
285,01/2022,6231,"מניות השייכות למדד ת""א 75/90",33749.16
285,01/2022,6241,מניות היתר,18158.9
285,01/2022,108,מניות לא סחירות,4427.61
285,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",7128.94
285,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",61166.44
285,01/2022,123,מניות לא סחירות בתאגיד חוץ,5724.9
285,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,83.38
285,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",5297.34
285,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,99951.11
285,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",4900.32
285,01/2022,94,תעודת השתתפות בקרן נאמנות,1277.16
285,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",10505.67
285,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,5941.07
285,01/2022,9211,תעודת השתתפות בקרנות נאמנות - אחר,5301.53
285,01/2022,553,קרנות הון סיכון,985.67
285,01/2022,7191,קרנות גידור,4379.34
285,01/2022,5302,"קרנות נדל""ן",5158.02
285,01/2022,552,קרנות השקעה אחרות,33933.76
285,01/2022,5005,"קרנות הון סיכון בחו""ל",2393.06
285,01/2022,7201,"קרנות גידור בחו""ל",3133.59
285,01/2022,5305,"קרנות נדל""ן בחו""ל",10718.96
285,01/2022,5004,"קרנות השקעה אחרות בחו""ל",26531.85
285,01/2022,313,Warrants אופציות מסוג,213.17
285,01/2022,7211,Warrants כתבי אופציה לא סחירים מסוג,356.05
285,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-2041.43
285,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",-1035.62
285,01/2022,7271,סחירים long אופציות על מדדים כולל מניות,312.32
285,01/2022,7274,סחירים short אופציות על מדדים כולל מניות,-231.8
285,01/2022,5388,אופציות סחירות על מניות ועל מדד מניות (long),139.41
285,01/2022,9261,"מוצרים מובנים בחו""ל עם קרן מובטחת ונכס בסיס אשראי",2270.29
285,01/2022,9274,"מוצרים מובנים בחו""ל עם קרן מובטחת ונכס בסיס מדד",3901.08
285,01/2022,8744,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס אחר,3913.37
285,01/2022,95,הלוואות לעמיתים,1823.06
285,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,4409.67
285,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,1218.49
285,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,10091.66
285,01/2022,7397,"ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות נקובים במט""ח בדירוג",260.96
285,01/2022,554,חייבים שונים,109.53
285,01/2022,5050,זכאים מס הכנסה,-9.89
285,01/2022,5930,עמיתים זכאים בגין שיקים שמועד פרעונם עבר,-5.65
