קופה,תקופה,קוד,נכס,כמות
284,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",376.2
284,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",9501.73
284,01/2022,105,"פח""ק/פר""י",32786.49
284,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",4932.43
284,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",1.96
284,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",54582.46
284,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",108104.13
284,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,58899.05
284,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,24315.18
284,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",903.47
284,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,13130.44
284,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,10449.75
284,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",957.56
284,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,647.82
284,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,1919.35
284,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,1295.72
284,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,887.57
284,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1770.26
284,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,113.6
284,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",974.62
284,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",2101.61
284,01/2022,6221,"מניות השייכות למדד ת""א 25/35",84515.18
284,01/2022,6231,"מניות השייכות למדד ת""א 75/90",44918.76
284,01/2022,6241,מניות היתר,30292.63
284,01/2022,108,מניות לא סחירות,4172.13
284,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",12913.56
284,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",65383.14
284,01/2022,123,מניות לא סחירות בתאגיד חוץ,6250.96
284,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,83.46
284,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",8556.76
284,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",5227.98
284,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,142898.21
284,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",5904.58
284,01/2022,94,תעודת השתתפות בקרן נאמנות,1249.17
284,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",12710.82
284,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,7629.74
284,01/2022,553,קרנות הון סיכון,1101.15
284,01/2022,7191,קרנות גידור,5025.93
284,01/2022,5302,"קרנות נדל""ן",6091.67
284,01/2022,552,קרנות השקעה אחרות,37224.45
284,01/2022,5005,"קרנות הון סיכון בחו""ל",2759.75
284,01/2022,7201,"קרנות גידור בחו""ל",3765.75
284,01/2022,5305,"קרנות נדל""ן בחו""ל",12521.01
284,01/2022,5004,"קרנות השקעה אחרות בחו""ל",33071.57
284,01/2022,313,Warrants אופציות מסוג,349.56
284,01/2022,7211,Warrants כתבי אופציה לא סחירים מסוג,370.11
284,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-3166.4
284,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",-1949.57
284,01/2022,7271,סחירים long אופציות על מדדים כולל מניות,450.56
284,01/2022,7274,סחירים short אופציות על מדדים כולל מניות,-334.4
284,01/2022,5388,אופציות סחירות על מניות ועל מדד מניות (long),192.56
284,01/2022,9261,"מוצרים מובנים בחו""ל עם קרן מובטחת ונכס בסיס אשראי",2881.77
284,01/2022,9274,"מוצרים מובנים בחו""ל עם קרן מובטחת ונכס בסיס מדד",4503.14
284,01/2022,8744,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס אחר,4930.77
284,01/2022,95,הלוואות לעמיתים,2493.95
284,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,4205.57
284,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,1378.05
284,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,11783.5
284,01/2022,7397,"ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות נקובים במט""ח בדירוג",358.82
284,01/2022,554,חייבים שונים,101.37
284,01/2022,555,זכאים (ירשם במינוס,-782.32
284,01/2022,5050,זכאים מס הכנסה,-21.74
