קופה,תקופה,קוד,נכס,כמות
229,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",199133.16
229,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",21316.27
229,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",504062.77
229,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,469453.83
229,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,241431.06
229,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,57207.14
229,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,81885.08
229,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",12266.12
229,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,4656.72
229,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,11165.98
229,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,5915.16
229,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",1070.93
229,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,961.27
229,01/2022,5550,"או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג הנמוך מ",22.04
229,01/2022,6221,"מניות השייכות למדד ת""א 25/35",416768.12
229,01/2022,6231,"מניות השייכות למדד ת""א 75/90",252124.3
229,01/2022,6241,מניות היתר,152480.51
229,01/2022,108,מניות לא סחירות,12780.0
229,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",35933.65
229,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",313617.17
229,01/2022,123,מניות לא סחירות בתאגיד חוץ,83328.35
229,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,118011.15
229,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",140309.19
229,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",68541.97
229,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,545950.35
229,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",425.41
229,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",87742.47
229,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,134378.12
229,01/2022,553,קרנות הון סיכון,54743.82
229,01/2022,552,קרנות השקעה אחרות,667070.89
229,01/2022,5305,"קרנות נדל""ן בחו""ל",444237.02
229,01/2022,5004,"קרנות השקעה אחרות בחו""ל",244965.68
229,01/2022,313,Warrants אופציות מסוג,96.11
229,01/2022,7211,Warrants כתבי אופציה לא סחירים מסוג,69.9
229,01/2022,5369,אופציות ישראליות על שקל/דולר (long),6495.3
229,01/2022,5382,אופציות ישראליות על שקל/דולר בחסר (short),-20105.85
229,01/2022,9231,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מטבע,6867.73
229,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,11261.34
229,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,28878.44
229,01/2022,554,חייבים שונים,1981.85
229,01/2022,5050,זכאים מס הכנסה,-248.85
