קופה,תקופה,קוד,נכס,כמות
101,09/1999,85,"אג""ח מיועדות %5",339090.0
101,09/1999,86,"אג""ח סחירות ממשלתיות",5197157.0
101,09/1999,88,מניות גמול,2287.0
101,09/1999,304,"מק""מ",49075.0
101,09/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",426776.0
101,09/1999,308,"לפחות AA אג""ח בדירוג",774778.0
101,09/1999,309,"אג""ח קונצרניות סחירות",264173.0
101,09/1999,310,"אג""ח להמרה סחירות",23561.0
101,09/1999,313,Warrants אופציות מסוג,3355.0
101,09/1999,316,מניות סחירות,1561585.0
101,09/1999,93,"מניות נסחרות בחו""ל",25660.0
101,09/1999,95,הלוואות לעמיתים,19685.0
101,09/1999,96,הלוואות אחרות,146781.0
101,09/1999,97,פקדונות צמודים,585525.0
101,09/1999,98,תיקי משכנתאות,8504.0
101,09/1999,103,חייבים שונים נטו,8214.0
101,09/1999,107,"אג""ח קונצרניות לא סחירות",503542.0
101,09/1999,108,מניות לא סחירות,31911.0
101,09/1999,329,נכסים אחרים לא סחירים,4259.0
