קופה,תקופה,קוד,נכס,כמות
101,01/2021,106,"יתרות מזומנים ועו""ש בשקלים חדשים",277254.97
101,01/2021,511,"יתרת מזומנים ועו""ש במטבע חוץ",61305.02
101,01/2021,105,"פח""ק/פר""י",118504.76
101,01/2021,513,"אג""ח ממשלתיות סחירות צמודות מדד",717688.31
101,01/2021,515,"אג""ח סחירות ממשלתיות לא צמודות",1976462.77
101,01/2021,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",435857.31
101,01/2021,304,"מק""מ",26572.18
101,01/2021,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",6859.76
101,01/2021,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,652025.37
101,01/2021,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,168639.79
101,01/2021,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",14123.41
101,01/2021,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,93366.81
101,01/2021,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,113714.47
101,01/2021,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",17688.21
101,01/2021,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,11060.84
101,01/2021,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,26361.8
101,01/2021,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,116443.95
101,01/2021,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,5957.91
101,01/2021,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",4928.31
101,01/2021,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",7623.18
101,01/2021,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",1201.88
101,01/2021,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,1703.64
101,01/2021,5550,"או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג הנמוך מ",28632.65
101,01/2021,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",22373.55
101,01/2021,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",248687.41
101,01/2021,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",44043.96
101,01/2021,7174,"או לא מדורגות -BBB - אגרות חוב לא סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",6078.52
101,01/2021,6221,"מניות השייכות למדד ת""א 25/35",47686.38
101,01/2021,6231,"מניות השייכות למדד ת""א 75/90",22529.22
101,01/2021,6241,מניות היתר,4648.12
101,01/2021,6251,מניות זרות הנסחרות בארץ,4711.49
101,01/2021,108,מניות לא סחירות,48802.15
101,01/2021,528,"מניות של חברות ישראליות שנסחרות בחו""ל",11614.71
101,01/2021,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",257635.71
101,01/2021,123,מניות לא סחירות בתאגיד חוץ,384520.78
101,01/2021,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,3910.57
101,01/2021,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",25391.52
101,01/2021,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",85786.57
101,01/2021,5921,השקעה בתעודות סל שמחקות מדדי מניות,374028.03
101,01/2021,94,תעודת השתתפות בקרן נאמנות,193.59
101,01/2021,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",143085.39
101,01/2021,9207,תעודת השתתפות בקרנות נאמנות - מניות,145126.98
101,01/2021,9211,תעודת השתתפות בקרנות נאמנות - אחר,42714.4
101,01/2021,553,קרנות הון סיכון,27746.39
101,01/2021,7191,קרנות גידור,44371.12
101,01/2021,5302,"קרנות נדל""ן",1966.55
101,01/2021,552,קרנות השקעה אחרות,148900.33
101,01/2021,5005,"קרנות הון סיכון בחו""ל",18749.32
101,01/2021,7201,"קרנות גידור בחו""ל",108232.16
