קופה,תקופה,קוד,נכס,כמות
299,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",12306.93
299,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",2879.57
299,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",133877.0
299,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",41648.79
299,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,2522.0
299,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,2267.28
299,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,1649.14
299,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",232.33
299,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,386.82
299,01/2022,6221,"מניות השייכות למדד ת""א 25/35",1892.8
299,01/2022,6231,"מניות השייכות למדד ת""א 75/90",1195.72
299,01/2022,6241,מניות היתר,26835.88
299,01/2022,108,מניות לא סחירות,10507.34
299,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",12470.17
299,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,126015.88
299,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",14173.06
299,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,267278.52
299,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",15464.19
299,01/2022,553,קרנות הון סיכון,13033.81
299,01/2022,7191,קרנות גידור,11432.12
299,01/2022,5302,"קרנות נדל""ן",1600.8
299,01/2022,552,קרנות השקעה אחרות,14205.67
299,01/2022,7201,"קרנות גידור בחו""ל",29901.29
299,01/2022,5305,"קרנות נדל""ן בחו""ל",15171.82
299,01/2022,5004,"קרנות השקעה אחרות בחו""ל",21693.58
299,01/2022,313,Warrants אופציות מסוג,1225.31
299,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-744.47
299,01/2022,7281,לא סחירות long על מדדים כולל מניות OTC אופציות,621.2
299,01/2022,95,הלוואות לעמיתים,45351.16
299,01/2022,7344,"כנגדם בטוחה מספקת, או משכנתא ראשונה על זכות  או התחייבות לרישום משכנתא שנרשם עליה  -BBB - תיקי משכנתאות בדירוג נמוך מ",28977.78
299,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,7613.34
299,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,12949.33
299,01/2022,7381,"הלוואות בחו""ל לא מובטחות",13572.93
299,01/2022,554,חייבים שונים,1331.28
299,01/2022,555,זכאים (ירשם במינוס,-1364.47
299,01/2022,5050,זכאים מס הכנסה,-5.9
