קופה,תקופה,קוד,נכס,כמות
101,10/1999,85,"אג""ח מיועדות %5",317600.0
101,10/1999,86,"אג""ח סחירות ממשלתיות",5309903.0
101,10/1999,88,מניות גמול,2308.0
101,10/1999,304,"מק""מ",49550.0
101,10/1999,102,"פק""מ וקצר מועד אחר",150000.0
101,10/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",202928.0
101,10/1999,308,"לפחות AA אג""ח בדירוג",774164.0
101,10/1999,309,"אג""ח קונצרניות סחירות",259306.0
101,10/1999,310,"אג""ח להמרה סחירות",23396.0
101,10/1999,313,Warrants אופציות מסוג,3583.0
101,10/1999,316,מניות סחירות,1571466.0
101,10/1999,93,"מניות נסחרות בחו""ל",27563.0
101,10/1999,95,הלוואות לעמיתים,18908.0
101,10/1999,96,הלוואות אחרות,147571.0
101,10/1999,97,פקדונות צמודים,583603.0
101,10/1999,98,תיקי משכנתאות,8469.0
101,10/1999,103,חייבים שונים נטו,11725.0
101,10/1999,107,"אג""ח קונצרניות לא סחירות",505780.0
101,10/1999,108,מניות לא סחירות,32144.0
101,10/1999,329,נכסים אחרים לא סחירים,4266.0
