קופה,תקופה,קוד,נכס,כמות
239,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",12361.15
239,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",13684.93
239,01/2022,105,"פח""ק/פר""י",55846.7
239,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",21148.44
239,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",1088.63
239,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",37489.28
239,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",26109.8
239,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",13624.61
239,01/2022,304,"מק""מ",93.42
239,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",247.6
239,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",2082.15
239,01/2022,7067,ומעלה AA- תעודות חוב מסחריות לא סחירות לא צמודות בדירוג,453.29
239,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,55743.37
239,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,14974.91
239,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",604.14
239,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,10295.22
239,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,9229.13
239,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",82.89
239,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,2328.63
239,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,671.69
239,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",258.17
239,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,7414.94
239,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,1617.07
239,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",1494.8
239,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1774.16
239,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",621.39
239,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,12.79
239,01/2022,5551,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג הנמוך מ,0.87
239,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",1121.93
239,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",1983.31
239,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",3931.45
239,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",15312.43
239,01/2022,6221,"מניות השייכות למדד ת""א 25/35",71425.94
239,01/2022,6231,"מניות השייכות למדד ת""א 75/90",29410.63
239,01/2022,6241,מניות היתר,9104.17
239,01/2022,108,מניות לא סחירות,5775.64
239,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",13710.15
239,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",54532.13
239,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,10510.57
239,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",6108.63
239,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,37776.29
239,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",763.62
239,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",11876.52
239,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,6848.26
239,01/2022,9211,תעודת השתתפות בקרנות נאמנות - אחר,6735.02
239,01/2022,553,קרנות הון סיכון,2252.27
239,01/2022,7191,קרנות גידור,6021.63
239,01/2022,552,קרנות השקעה אחרות,544.16
239,01/2022,7201,"קרנות גידור בחו""ל",2.85
239,01/2022,5305,"קרנות נדל""ן בחו""ל",382.97
239,01/2022,5004,"קרנות השקעה אחרות בחו""ל",975.17
239,01/2022,313,Warrants אופציות מסוג,248.61
239,01/2022,7211,Warrants כתבי אופציה לא סחירים מסוג,4.85
239,01/2022,5279,אופציה מסוג Warrant,49.38
239,01/2022,7221,"בחו""ל Warrants כתבי אופציה לא סחירים מסוג",47.87
239,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-503.34
239,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",75.64
239,01/2022,7240,"לא סחירים FORWARD, SWAP חוזים עתידיים על ריבית",-25.44
239,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",-622.76
239,01/2022,7251,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",-233.79
239,01/2022,7254,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח",-17.65
239,01/2022,7271,סחירים long אופציות על מדדים כולל מניות,234.72
239,01/2022,7274,סחירים short אופציות על מדדים כולל מניות,-98.95
239,01/2022,5563,"שקל/מט""ח לא סחירות (long) OTC אופציות",81.39
239,01/2022,5565,"שקל/מט""ח (short) בחסר OTC אופציות",-32.33
239,01/2022,5388,אופציות סחירות על מניות ועל מדד מניות (long),354.07
239,01/2022,5396,אופציות סחירות על מניות ועל מדד מניות בחסר (short),-208.22
239,01/2022,7304,"בחו""ל לא סחירות long אופציות על שקל/מט""ח",208.61
