קופה,תקופה,קוד,נכס,כמות
199,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",2745.07
199,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",3133.95
199,01/2022,105,"פח""ק/פר""י",3988.31
199,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",0.59
199,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",32736.64
199,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",44679.33
199,01/2022,304,"מק""מ",4971.3
199,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,46679.6
199,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,7418.43
199,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",909.67
199,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,4874.9
199,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,5766.28
199,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",1429.21
199,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,905.14
199,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,434.29
199,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",0.0
199,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,2352.54
199,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,356.18
199,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",121.15
199,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",44.83
199,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,47.57
199,01/2022,7141,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",972.9
199,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",1123.05
199,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",109.94
199,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",684.59
199,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",3622.85
199,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",10396.01
199,01/2022,7180,"-BBB: +BBB אגרות חוב לא סחירות שהנפיקו חברות זרות בחו""ל בדירוג",53.39
199,01/2022,7186,"או לא מדורגות -BBB - אגרות חוב לא סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",93.09
199,01/2022,6221,"מניות השייכות למדד ת""א 25/35",0.71
199,01/2022,6231,"מניות השייכות למדד ת""א 75/90",0.34
199,01/2022,6241,מניות היתר,0.09
199,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",0.35
199,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",0.03
199,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,0.05
199,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",1913.21
199,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",684.44
199,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",10099.52
199,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,2009.35
199,01/2022,313,Warrants אופציות מסוג,0.0
199,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",236.8
199,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",218.76
199,01/2022,7240,"לא סחירים FORWARD, SWAP חוזים עתידיים על ריבית",-26.05
199,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,1022.76
199,01/2022,7341," מספקת, או משכנתא ראשונה על זכות במקרקעין או התחייבות לרישום משכנתא שנרשם עליה משכון כדין -BBB תיקי משכנתאות בדירוג",1471.45
199,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,5110.65
199,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,3937.25
199,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,1714.56
199,01/2022,7491,הלוואות לא מובטחות,0.0
199,01/2022,7377,"הלוואות בחו""ל מובטחות בביטחונות אחרים",5735.41
199,01/2022,7397,"ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות נקובים במט""ח בדירוג",-862.65
199,01/2022,554,חייבים שונים,2.27
199,01/2022,555,זכאים (ירשם במינוס,-802.38
199,01/2022,5050,זכאים מס הכנסה,-14.21
