קופה,תקופה,קוד,נכס,כמות
101,06/1999,85,"אג""ח מיועדות %5",379343.0
101,06/1999,86,"אג""ח סחירות ממשלתיות",4902242.0
101,06/1999,88,מניות גמול,2228.0
101,06/1999,304,"מק""מ",47735.0
101,06/1999,102,"פק""מ וקצר מועד אחר",150000.0
101,06/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",500475.0
101,06/1999,308,"לפחות AA אג""ח בדירוג",782472.0
101,06/1999,309,"אג""ח קונצרניות סחירות",276009.0
101,06/1999,310,"אג""ח להמרה סחירות",26045.0
101,06/1999,311,אופציה ישראלית,46.0
101,06/1999,313,Warrants אופציות מסוג,4469.0
101,06/1999,316,מניות סחירות,1621340.0
101,06/1999,93,"מניות נסחרות בחו""ל",23132.0
101,06/1999,95,הלוואות לעמיתים,20429.0
101,06/1999,96,הלוואות אחרות,147289.0
101,06/1999,97,פקדונות צמודים,593136.0
101,06/1999,98,תיקי משכנתאות,8588.0
101,06/1999,103,חייבים שונים נטו,7856.0
101,06/1999,107,"אג""ח קונצרניות לא סחירות",484726.0
101,06/1999,108,מניות לא סחירות,31151.0
101,06/1999,329,נכסים אחרים לא סחירים,4037.0
