קופה,תקופה,קוד,נכס,כמות
101,01/2000,85,"אג""ח מיועדות %5",247020.0
101,01/2000,86,"אג""ח סחירות ממשלתיות",5689661.0
101,01/2000,88,מניות גמול,2287.0
101,01/2000,102,"פק""מ וקצר מועד אחר",150000.0
101,01/2000,106,"יתרות מזומנים ועו""ש בשקלים חדשים",173447.0
101,01/2000,308,"לפחות AA אג""ח בדירוג",792402.0
101,01/2000,309,"אג""ח קונצרניות סחירות",269106.0
101,01/2000,310,"אג""ח להמרה סחירות",23198.0
101,01/2000,311,אופציה ישראלית,7212.0
101,01/2000,313,Warrants אופציות מסוג,3805.0
101,01/2000,316,מניות סחירות,1670033.0
101,01/2000,93,"מניות נסחרות בחו""ל",36326.0
101,01/2000,95,הלוואות לעמיתים,22709.0
101,01/2000,96,הלוואות אחרות,145140.0
101,01/2000,97,פקדונות צמודים,572911.0
101,01/2000,98,תיקי משכנתאות,8295.0
101,01/2000,103,חייבים שונים נטו,8199.0
101,01/2000,107,"אג""ח קונצרניות לא סחירות",507969.0
101,01/2000,108,מניות לא סחירות,38720.0
101,01/2000,329,נכסים אחרים לא סחירים,10992.0
