קופה,תקופה,קוד,נכס,כמות
101,04/1999,85,"אג""ח מיועדות %5",428222.0
101,04/1999,86,"אג""ח סחירות ממשלתיות",4966484.0
101,04/1999,88,מניות גמול,2234.0
101,04/1999,304,"מק""מ",58944.0
101,04/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",413322.0
101,04/1999,308,"לפחות AA אג""ח בדירוג",785720.0
101,04/1999,309,"אג""ח קונצרניות סחירות",279616.0
101,04/1999,310,"אג""ח להמרה סחירות",26431.0
101,04/1999,311,אופציה ישראלית,38775.0
101,04/1999,313,Warrants אופציות מסוג,3005.0
101,04/1999,316,מניות סחירות,1621466.0
101,04/1999,93,"מניות נסחרות בחו""ל",17331.0
101,04/1999,95,הלוואות לעמיתים,20346.0
101,04/1999,96,הלוואות אחרות,152336.0
101,04/1999,97,פקדונות צמודים,597901.0
101,04/1999,98,תיקי משכנתאות,8609.0
101,04/1999,103,חייבים שונים נטו,12684.0
101,04/1999,107,"אג""ח קונצרניות לא סחירות",484003.0
101,04/1999,108,מניות לא סחירות,30687.0
101,04/1999,329,נכסים אחרים לא סחירים,437.0
