קופה,תקופה,קוד,נכס,כמות
101,08/1999,85,"אג""ח מיועדות %5",342866.0
101,08/1999,86,"אג""ח סחירות ממשלתיות",5173720.0
101,08/1999,88,מניות גמול,2234.0
101,08/1999,304,"מק""מ",48650.0
101,08/1999,102,"פק""מ וקצר מועד אחר",220000.0
101,08/1999,106,"יתרות מזומנים ועו""ש בשקלים חדשים",238468.0
101,08/1999,308,"לפחות AA אג""ח בדירוג",777192.0
101,08/1999,309,"אג""ח קונצרניות סחירות",266613.0
101,08/1999,310,"אג""ח להמרה סחירות",23310.0
101,08/1999,313,Warrants אופציות מסוג,3387.0
101,08/1999,316,מניות סחירות,1511272.0
101,08/1999,93,"מניות נסחרות בחו""ל",25231.0
101,08/1999,95,הלוואות לעמיתים,19407.0
101,08/1999,96,הלוואות אחרות,146369.0
101,08/1999,97,פקדונות צמודים,586481.0
101,08/1999,98,תיקי משכנתאות,8590.0
101,08/1999,103,חייבים שונים נטו,12552.0
101,08/1999,107,"אג""ח קונצרניות לא סחירות",497913.0
101,08/1999,108,מניות לא סחירות,31644.0
101,08/1999,329,נכסים אחרים לא סחירים,4201.0
