קופה,תקופה,קוד,נכס,כמות
128,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",4009.66
128,01/2022,105,"פח""ק/פר""י",0.34
128,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",0.16
128,01/2022,304,"מק""מ",47127.41
128,01/2022,7033,ומעלה AA- תעודות חוב מסחריות לא צמודות בדירוג ,8507.23
128,01/2022,7067,ומעלה AA- תעודות חוב מסחריות לא סחירות לא צמודות בדירוג,559.53
128,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,21768.65
128,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,5450.69
128,01/2022,9247,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס ריבית,13131.3
128,01/2022,95,הלוואות לעמיתים,3177.85
128,01/2022,7394,ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות לא צמודים מדד בדירוג,39278.66
128,01/2022,554,חייבים שונים,0.06
128,01/2022,555,זכאים (ירשם במינוס,-59.04
128,01/2022,5050,זכאים מס הכנסה,-6.21
