קופה,תקופה,קוד,נכס,כמות
295,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",2204.76
295,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",882.13
295,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",18077.3
295,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",21492.24
295,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,10349.08
295,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,2701.74
295,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",321.34
295,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,2121.03
295,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,2351.48
295,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",864.53
295,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,689.47
295,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,454.39
295,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",143.66
295,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,1426.57
295,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",651.86
295,01/2022,6221,"מניות השייכות למדד ת""א 25/35",12984.84
295,01/2022,6231,"מניות השייכות למדד ת""א 75/90",11771.39
295,01/2022,6241,מניות היתר,5099.18
295,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",4889.19
295,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,1678.9
295,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",26632.54
295,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",3884.06
295,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,8949.44
295,01/2022,95,הלוואות לעמיתים,695.31
295,01/2022,554,חייבים שונים,95.18
295,01/2022,555,זכאים (ירשם במינוס,-75.92
295,01/2022,5050,זכאים מס הכנסה,-1.35
